专业,专业代码,所属专业类,所属学科门类,专业相关招录人数,直接对口招录人数,专业类共享招录人数,学科门类共享招录人数,专业不限招录人数,全部可报招录人数_含不限,折算独占招录人数,专业独占指数,全部可报岗位数_含不限,折算独占岗位数,专业岗位独占指数
生物科学,071001,生物科学类,理学,897,54,193,39,5359,6256.0,20.084306,0.00321041,3928,14.290373,0.00363808
核物理,070203,物理学类,理学,893,5,660,39,5359,6252.0,19.381636,0.00310007,3818,11.932165,0.00312524
声学,070204T,物理学类,理学,890,1,660,39,5359,6249.0,17.106636,0.0027375,3815,9.657165,0.00253137
应用物理学,070202,物理学类,理学,890,1,660,39,5359,6249.0,17.106636,0.0027375,3815,9.657165,0.00253137
系统科学与工程,070205T,物理学类,理学,890,1,660,39,5359,6249.0,17.081636,0.0027335,3815,9.632165,0.00252481
物理学,070201,物理学类,理学,889,0,660,39,5359,6248.0,16.981636,0.00271793,3814,9.532165,0.00249926
量子信息科学,070206T,物理学类,理学,889,0,660,39,5359,6248.0,16.981636,0.00271793,3814,9.532165,0.00249926
园林,090502,林学类,农学,880,17,579,18,5359,6239.0,31.270683,0.00501213,3898,24.545749,0.00629701
智慧林业,090505T,林学类,农学,877,4,579,18,5359,6236.0,30.69735,0.0049226,3895,23.972415,0.00615466
经济林,090504T,林学类,农学,875,3,579,18,5359,6234.0,30.24735,0.004852,3893,23.522415,0.00604223
食品药品环境犯罪侦查技术,083112TK,公安技术类,工学,871,23,428,35,5359,6230.0,17.628669,0.00282964,3783,9.915601,0.00262109
火灾勘查,083107TK,公安技术类,工学,823,2,401,35,5359,6182.0,16.025999,0.00259236,3757,9.068516,0.00241377
核生化消防,083109TK,公安技术类,工学,821,0,401,35,5359,6180.0,15.716475,0.00254312,3755,8.758992,0.00233262
海警舰艇指挥与技术,083110TK,公安技术类,工学,821,0,401,35,5359,6180.0,15.716475,0.00254312,3755,8.758992,0.00233262
地质学,070901,地质学类,理学,810,21,220,39,5359,6169.0,17.783815,0.00288277,3838,12.428309,0.00323823
地球信息科学与技术,070903T,地质学类,理学,808,2,220,39,5359,6167.0,17.456891,0.00283069,3836,12.101386,0.00315469
地球化学,070902,地质学类,理学,801,2,220,39,5359,6160.0,17.364785,0.00281896,3831,12.034468,0.00314134
合成生物学,083003T,生物工程类,工学,771,3,304,35,5359,6130.0,24.107005,0.00393263,3774,15.582042,0.00412879
森林工程,082401,林业工程类,工学,751,5,349,35,5359,6110.0,13.953199,0.00228367,3796,10.102553,0.00266137
林产化工,082403,林业工程类,工学,748,1,349,35,5359,6107.0,13.807853,0.00226099,3793,9.957208,0.00262515
家具设计与工程,082404T,林业工程类,工学,747,0,349,35,5359,6106.0,13.664996,0.00223796,3792,9.81435,0.00258817
木材科学与工程,082402,林业工程类,工学,747,0,349,35,5359,6106.0,13.664996,0.00223796,3792,9.81435,0.00258817
木结构建筑与材料,082405T,林业工程类,工学,747,0,349,35,5359,6106.0,13.664996,0.00223796,3792,9.81435,0.00258817
动植物检疫,090403T,动物医学类,农学,744,173,318,18,5359,6103.0,38.783171,0.00635477,3841,32.692512,0.00851146
动物医学,090401,动物医学类,农学,726,140,309,18,5359,6085.0,28.739784,0.00472305,3813,23.282719,0.00610614
动物药学,090402,动物医学类,农学,713,52,317,18,5359,6072.0,28.173944,0.00463998,3806,22.762334,0.00598064
旅游管理与服务教育,120904T,旅游管理类,管理学,707,18,351,33,5359,6066.0,20.28889,0.00334469,3774,15.246788,0.00403995
酒店管理,120902,旅游管理类,管理学,707,4,348,33,5359,6066.0,20.467461,0.00337413,3774,15.42536,0.00408727
国际邮轮管理,120905TK,旅游管理类,管理学,707,0,351,33,5359,6066.0,20.28889,0.00334469,3774,15.246788,0.00403995
动物科学,090301,动物生产类,农学,680,106,320,18,5359,6039.0,21.862954,0.00362029,3758,16.817565,0.00447514
兽医公共卫生,090406TK,动物医学类,农学,674,82,312,18,5359,6033.0,27.753171,0.00460023,3777,22.421242,0.00593626
实验动物学,090404T,动物医学类,农学,671,19,319,18,5359,6030.0,27.153171,0.00450301,3775,22.021242,0.00583344
中兽医学,090405T,动物医学类,农学,670,27,313,18,5359,6029.0,26.903171,0.00446229,3774,21.771242,0.00576874
药物化学,100706T,药学类,医学,639,20,510,16,5359,5998.0,23.565972,0.00392897,3783,17.817855,0.00470998
生物技术,071002,生物科学类,理学,638,53,195,39,5359,5997.0,17.714978,0.00295397,3712,11.766545,0.00316987
药物分析,100705T,药学类,医学,633,23,508,16,5359,5992.0,24.317895,0.00405839,3773,17.636445,0.00467438
化妆品科学与技术,100708T,药学类,医学,627,8,507,16,5359,5986.0,22.55697,0.00376829,3773,16.963443,0.00449601
药事管理,100704T,药学类,医学,626,12,511,16,5359,5985.0,22.57345,0.00377167,3771,16.936445,0.00449123
临床药学,100703TK,药学类,医学,625,16,510,16,5359,5984.0,22.379006,0.00373981,3770,16.742001,0.00444085
药物经济与管理,100709TK,药学类,医学,624,0,511,16,5359,5983.0,22.295672,0.0037265,3769,16.658667,0.00441992
海洋药学,100707T,药学类,医学,621,0,508,16,5359,5980.0,22.065859,0.00368994,3767,16.472332,0.0043728
服装设计与工程,081602,纺织类,工学,616,28,143,35,5359,5975.0,23.952931,0.00400886,3670,14.602102,0.00397877
服装设计与工艺教育,081604T,纺织类,工学,608,20,143,35,5359,5967.0,21.286264,0.00356733,3665,12.935435,0.00352945
水产养殖学,090601,水产类,农学,566,71,215,18,5359,5925.0,22.070583,0.00372499,3664,16.575199,0.0045238
纺织工程,081601,纺织类,工学,566,27,143,35,5359,5925.0,19.70818,0.00332628,3633,12.029131,0.00331107
经济动物学,090304T,动物生产类,农学,557,7,322,18,5359,5916.0,13.597175,0.00229837,3654,9.456046,0.00258786
饲料工程,090306T,动物生产类,农学,557,7,322,18,5359,5916.0,13.359397,0.00225818,3654,9.218268,0.00252279
智慧牧业科学与工程,090307T,动物生产类,农学,553,3,322,18,5359,5912.0,13.097175,0.00221535,3650,8.956046,0.00245371
蜂学,090303T,动物生产类,农学,552,0,321,18,5359,5911.0,13.077944,0.00221248,3649,8.936815,0.00244911
马业科学,090305T,动物生产类,农学,552,0,321,18,5359,5911.0,13.077944,0.00221248,3649,8.936815,0.00244911
蚕学,090302T,动物生产类,农学,551,0,320,18,5359,5910.0,13.059426,0.00220972,3648,8.918296,0.00244471
无人驾驶航空器系统工程,082009T,航空航天类,工学,545,48,100,35,5359,5904.0,22.491145,0.00380948,3626,11.929509,0.00328999
非织造材料与工程,081603T,纺织类,工学,544,3,141,35,5359,5903.0,15.522658,0.00262962,3619,9.378794,0.00259154
丝绸设计与工程,081605T,纺织类,工学,543,3,143,35,5359,5902.0,14.909695,0.00252621,3618,8.947313,0.002473
轻化工程,081701,轻工类,工学,530,14,121,35,5359,5889.0,10.255245,0.00174142,3624,6.794519,0.00187487
化妆品技术与工程,081705T,轻工类,工学,527,11,121,35,5359,5886.0,9.136328,0.00155221,3624,5.942268,0.0016397
印刷工程,081703,轻工类,工学,521,8,118,35,5359,5880.0,8.595217,0.00146177,3614,5.290046,0.00146376
包装工程,081702,轻工类,工学,521,5,121,35,5359,5880.0,9.384899,0.00159607,3616,5.905125,0.00163305
生物质技术与工程,081707T,轻工类,工学,516,0,121,35,5359,5875.0,8.456328,0.00143937,3613,5.262268,0.00145648
生物质能源与材料,081706TK,轻工类,工学,516,0,121,35,5359,5875.0,8.456328,0.00143937,3613,5.262268,0.00145648
香料香精技术与工程,081704T,轻工类,工学,516,0,121,35,5359,5875.0,8.456328,0.00143937,3613,5.262268,0.00145648
智能飞行器技术,082010T,航空航天类,工学,513,16,100,35,5359,5872.0,10.427166,0.00177574,3613,6.371714,0.00176355
飞行器控制与信息工程,082008T,航空航天类,工学,507,10,100,35,5359,5866.0,10.776546,0.00183712,3612,6.400994,0.00177215
航空航天工程,082001,航空航天类,工学,503,6,100,35,5359,5862.0,10.209879,0.00174171,3609,6.034327,0.00167202
飞行器运维工程,082012T,航空航天类,工学,502,5,100,35,5359,5861.0,10.076546,0.00171925,3608,5.900994,0.00163553
水生动物医学,090604TK,水产类,农学,500,58,215,18,5359,5859.0,19.930703,0.00340172,3605,14.816606,0.00411002
飞行器设计与工程,082002,航空航天类,工学,499,2,100,35,5359,5858.0,10.076546,0.00172013,3608,6.650994,0.0018434
飞行器制造工程,082003,航空航天类,工学,498,1,100,35,5359,5857.0,9.076546,0.00154969,3607,5.650994,0.00156667
空天智能电推进技术,082011T,航空航天类,工学,497,0,100,35,5359,5856.0,8.876546,0.0015158,3606,5.450994,0.00151165
飞行器动力工程,082004,航空航天类,工学,497,0,100,35,5359,5856.0,8.876546,0.0015158,3606,5.450994,0.00151165
飞行器环境与生命保障工程,082005,航空航天类,工学,497,0,100,35,5359,5856.0,8.876546,0.0015158,3606,5.450994,0.00151165
飞行器质量与可靠性,082006T,航空航天类,工学,497,0,100,35,5359,5856.0,8.876546,0.0015158,3606,5.450994,0.00151165
飞行器适航技术,082007T,航空航天类,工学,497,0,100,35,5359,5856.0,8.876546,0.0015158,3606,5.450994,0.00151165
生物信息学,071003,生物科学类,理学,484,15,195,39,5359,5843.0,15.296981,0.002618,3622,10.439925,0.00288236
船舶与海洋工程,081901,海洋工程类,工学,483,53,29,35,5359,5842.0,24.253511,0.00415158,3605,17.013608,0.00471945
生物医学工程,082601,生物医学工程类,工学,478,21,62,35,5359,5837.0,9.570788,0.00163968,3591,6.316007,0.00175884
辐射防护与核安全,082202,核工程类,工学,477,13,69,35,5359,5836.0,11.367219,0.00194778,3589,7.957838,0.00221729
临床工程技术,082603T,生物医学工程类,工学,475,0,62,35,5359,5834.0,9.383288,0.00160838,3589,6.191007,0.001725
假肢矫形工程,082602T,生物医学工程类,工学,475,0,62,35,5359,5834.0,9.383288,0.00160838,3589,6.191007,0.001725
健康科学与技术,082605T,生物医学工程类,工学,475,0,62,35,5359,5834.0,9.383288,0.00160838,3589,6.191007,0.001725
康复工程,082604T,生物医学工程类,工学,475,0,62,35,5359,5834.0,9.383288,0.00160838,3589,6.191007,0.001725
工程力学,080102,力学类,工学,472,1,76,35,5359,5831.0,8.679938,0.00148858,3581,5.454127,0.00152307
理论与应用力学,080101,力学类,工学,471,1,75,35,5359,5830.0,8.639938,0.00148198,3580,5.414127,0.00151233
预防医学,100401K,公共卫生与预防医学类,医学,470,136,261,16,5359,5829.0,25.551949,0.00438359,3658,19.993986,0.00546582
核工程与核技术,082201,核工程类,工学,470,6,69,35,5359,5829.0,10.721794,0.00183939,3584,7.479079,0.0020868
集成电路科学与工程,083204TK,交叉工程类,工学,469,25,37,35,5359,5828.0,9.427434,0.00161761,3588,6.141558,0.00171169
整合科学,071005T,生物科学类,理学,468,0,189,39,5359,5827.0,14.818886,0.00254314,3606,9.96183,0.00276257
神经科学,071006T,生物科学类,理学,468,0,189,39,5359,5827.0,14.818886,0.00254314,3606,9.96183,0.00276257
古生物学,070904T,地质学类,理学,467,0,220,39,5359,5826.0,12.650437,0.00217138,3605,8.481893,0.00235281
工程物理,082203,核工程类,工学,466,2,69,35,5359,5825.0,9.430128,0.00161891,3580,6.187413,0.00172833
核化工与核燃料工程,082204,核工程类,工学,465,1,69,35,5359,5824.0,8.930128,0.00153333,3579,5.687413,0.00158911
大气科学,070601,大气科学类,理学,459,46,185,39,5359,5818.0,34.220904,0.0058819,3654,30.593102,0.0083725
应用气象学,070602,大气科学类,理学,459,29,185,39,5359,5818.0,34.220904,0.0058819,3654,30.593102,0.0083725
气象技术与工程,070603T,大气科学类,理学,459,9,185,39,5359,5818.0,34.220904,0.0058819,3654,30.593102,0.0083725
地球系统科学,070604T,大气科学类,理学,459,6,185,39,5359,5818.0,34.220904,0.0058819,3654,30.593102,0.0083725
未来机器人,083201TK,交叉工程类,工学,452,7,38,35,5359,5811.0,8.520805,0.00146632,3589,5.53944,0.00154345
海洋渔业科学与技术,090602,水产类,农学,451,9,215,18,5359,5810.0,15.361583,0.00264399,3560,10.330819,0.00290192
智慧城市与空间规划,083206T,交叉工程类,工学,448,13,38,35,5359,5807.0,8.464827,0.00145769,3587,5.536094,0.00154338
低空技术与工程,083203TK,交叉工程类,工学,447,2,38,35,5359,5806.0,8.635767,0.00148739,3586,5.707034,0.00159148
智能无人系统技术,082108T,兵器类,工学,446,28,18,35,5359,5805.0,11.527724,0.00198583,3575,7.291974,0.00203971
水族科学与技术,090603T,水产类,农学,445,3,215,18,5359,5804.0,13.761583,0.00237105,3555,9.064153,0.00254969
交叉工程,083202TK,交叉工程类,工学,445,0,38,35,5359,5804.0,8.302434,0.00143047,3584,5.373701,0.00149936
碳中和科学与工程,083205T,交叉工程类,工学,445,0,38,35,5359,5804.0,8.302434,0.00143047,3584,5.373701,0.00149936
法医学,100901K,法医学类,医学,443,48,158,16,5359,5802.0,19.278734,0.00332277,3641,14.333422,0.00393667
海洋工程与技术,081902T,海洋工程类,工学,438,3,32,35,5359,5797.0,9.490617,0.00163716,3573,6.305476,0.00176476
智慧海洋技术,081905T,海洋工程类,工学,437,8,32,35,5359,5796.0,9.323951,0.00160869,3572,6.138809,0.00171859
海洋资源开发技术,081903T,海洋工程类,工学,437,6,32,35,5359,5796.0,9.323951,0.00160869,3572,6.138809,0.00171859
智能海洋装备,081906T,海洋工程类,工学,437,0,32,35,5359,5796.0,9.323951,0.00160869,3572,6.138809,0.00171859
海洋机器人,081904T,海洋工程类,工学,437,0,32,35,5359,5796.0,9.323951,0.00160869,3572,6.138809,0.00171859
弹药工程与爆炸技术,082104,兵器类,工学,433,18,18,35,5359,5792.0,10.046955,0.00173463,3567,6.340479,0.00177754
特种能源技术与工程,082105,兵器类,工学,428,7,18,35,5359,5787.0,9.791399,0.00169196,3565,6.646034,0.00186425
信息对抗技术,082107,兵器类,工学,424,8,18,35,5359,5783.0,8.091399,0.00139917,3562,5.196034,0.00145874
武器系统与工程,082101,兵器类,工学,424,3,18,35,5359,5783.0,8.091399,0.00139917,3562,5.196034,0.00145874
探测制导与控制技术,082103,兵器类,工学,424,0,18,35,5359,5783.0,8.091399,0.00139917,3562,5.196034,0.00145874
武器发射工程,082102,兵器类,工学,424,0,18,35,5359,5783.0,8.091399,0.00139917,3562,5.196034,0.00145874
装甲车辆工程,082106,兵器类,工学,424,0,18,35,5359,5783.0,8.091399,0.00139917,3562,5.196034,0.00145874
卫生监督,100404TK,公共卫生与预防医学类,医学,422,83,261,16,5359,5781.0,19.863422,0.00343598,3613,14.705459,0.00407015
民族学,030401,民族学类,法学,410,7,83,30,5359,5769.0,14.236259,0.00246772,3585,10.828403,0.00302047
海洋科学,070701,海洋科学类,理学,394,10,12,39,5359,5753.0,9.843868,0.00171108,3556,6.525067,0.00183495
服装与服饰设计,130505,设计学类,艺术学,382,35,189,16,5359,5741.0,20.74112,0.00361281,3548,13.131264,0.00370103
草业科学,090701,草学类,农学,377,9,144,18,5359,5736.0,11.837305,0.00206369,3552,8.306973,0.00233867
中药学,100801,中药学类,医学,376,14,187,16,5359,5735.0,14.012505,0.00244333,3586,9.967845,0.00277966
食品卫生与营养学,100402,公共卫生与预防医学类,医学,375,32,261,16,5359,5734.0,14.930965,0.00260394,3580,11.068241,0.00309169
草坪科学与工程,090702T,草学类,农学,369,0,144,18,5359,5728.0,11.642183,0.0020325,3544,8.111851,0.0022889
运动训练,040202K,体育学类,教育学,364,86,239,16,5359,5723.0,38.939808,0.00680409,3492,26.2486,0.00751678
防灾减灾科学与工程,070803T,地球物理学类,理学,361,28,98,39,5359,5720.0,12.341429,0.00215759,3547,8.81852,0.00248619
妇幼保健医学,100403TK,公共卫生与预防医学类,医学,350,6,261,16,5359,5709.0,13.298914,0.00232946,3556,9.507618,0.00267368
运动与公共健康,100406T,公共卫生与预防医学类,医学,347,1,261,16,5359,5706.0,13.348914,0.00233945,3553,9.557618,0.00269001
体能训练,040208T,体育学类,教育学,346,70,239,16,5359,5705.0,23.718578,0.00415751,3472,12.944037,0.00372812
全球健康学,100405TK,公共卫生与预防医学类,医学,346,0,261,16,5359,5705.0,13.015581,0.00228143,3552,9.224285,0.00259693
空间科学与技术,070802,地球物理学类,理学,344,4,98,39,5359,5703.0,10.220559,0.00179214,3532,6.898407,0.00195312
地球物理学,070801,地球物理学类,理学,342,13,98,39,5359,5701.0,10.13874,0.00177841,3531,6.907498,0.00195624
体育教育,040201,体育学类,教育学,340,65,239,16,5359,5699.0,24.503214,0.00429956,3477,15.793824,0.00454237
行星科学,070804TK,地球物理学类,理学,340,0,98,39,5359,5699.0,9.772074,0.0017147,3529,6.540831,0.00185345
文物与博物馆学,060104,历史学类,历史学,322,8,174,17,5359,5681.0,13.893994,0.0024457,3514,9.570059,0.00272341
运动康复,040206T,体育学类,教育学,319,41,239,16,5359,5678.0,19.017156,0.00334927,3463,10.7911,0.00311611
文物保护技术,060105T,历史学类,历史学,319,5,174,17,5359,5678.0,13.534095,0.0023836,3511,9.210161,0.00262323
考古学,060103,历史学类,历史学,317,4,173,17,5359,5676.0,13.272199,0.0023383,3509,8.948264,0.00255009
外国语言与外国历史,060106T,历史学类,历史学,314,2,172,17,5359,5673.0,12.949536,0.00228266,3506,8.625601,0.00246024
古文字学,060108T,历史学类,历史学,313,0,173,17,5359,5672.0,12.930668,0.00227974,3505,8.606733,0.00245556
世界史,060102,历史学类,历史学,312,0,172,17,5359,5671.0,12.892206,0.00227336,3504,8.568271,0.00244528
科学史,060109T,历史学类,历史学,312,0,172,17,5359,5671.0,12.892206,0.00227336,3504,8.568271,0.00244528
运动人体科学,040205,体育学类,教育学,304,26,239,16,5359,5663.0,16.625017,0.00293573,3453,9.323961,0.00270025
中西医临床医学,100601K,中西医结合类,医学,301,83,147,16,5359,5660.0,18.419101,0.00325426,3531,13.64071,0.00386313
武术与民族传统体育,040204K,体育学类,教育学,301,23,239,16,5359,5660.0,16.358351,0.00289017,3452,9.223961,0.00267206
社会体育指导与管理,040203,体育学类,教育学,299,20,239,16,5359,5658.0,14.888708,0.00263144,3454,9.349556,0.00270688
运动能力开发,040213T,体育学类,教育学,295,17,239,16,5359,5654.0,14.625017,0.00258667,3448,8.082295,0.00234405
俄语,050202,外国语言文学类,文学,291,63,74,22,5359,5650.0,30.76876,0.0054458,3488,19.72809,0.00565599
体育旅游,040212TK,体育学类,教育学,288,8,239,16,5359,5647.0,12.935213,0.00229063,3451,8.279395,0.00239913
冰雪运动,040209T,体育学类,教育学,286,6,239,16,5359,5645.0,13.386922,0.00237147,3445,7.731104,0.00224415
智能体育工程,040211TK,体育学类,教育学,284,4,239,16,5359,5643.0,12.6647,0.00224432,3445,7.508882,0.00217965
足球运动,040214TK,体育学类,教育学,282,2,239,16,5359,5641.0,12.336922,0.00218701,3445,7.681104,0.00222964
休闲体育,040207T,体育学类,教育学,281,2,239,16,5359,5640.0,12.053589,0.00213716,3444,7.397771,0.00214802
体育康养,040216T,体育学类,教育学,281,1,239,16,5359,5640.0,12.086922,0.00214307,3444,7.431104,0.0021577
缅甸语,050216,外国语言文学类,文学,280,35,76,22,5359,5639.0,25.336379,0.00449306,3491,17.399995,0.00498424
电子竞技运动与管理,040210TK,体育学类,教育学,280,0,239,16,5359,5639.0,11.886922,0.00210798,3443,7.231104,0.00210023
航空运动,040217TK,体育学类,教育学,280,0,239,16,5359,5639.0,11.886922,0.00210798,3443,7.231104,0.00210023
马术运动与管理,040215TK,体育学类,教育学,280,0,239,16,5359,5639.0,11.886922,0.00210798,3443,7.231104,0.00210023
老挝语,050215,外国语言文学类,文学,273,22,76,22,5359,5632.0,20.436379,0.00362862,3487,15.249995,0.00437339
泰语,050220,外国语言文学类,文学,272,21,76,22,5359,5631.0,17.336379,0.00307874,3485,12.883328,0.00369679
越南语,050223,外国语言文学类,文学,270,26,76,22,5359,5629.0,16.436379,0.00291995,3486,12.916662,0.0037053
中药制药,100805T,中药学类,医学,270,5,189,16,5359,5629.0,12.034832,0.00213801,3499,8.352326,0.00238706
中草药栽培与鉴定,100806T,中药学类,医学,270,1,190,16,5359,5629.0,12.034832,0.00213801,3499,8.352326,0.00238706
中药资源与开发,100802,中药学类,医学,270,1,190,16,5359,5629.0,12.034832,0.00213801,3499,8.352326,0.00238706
蒙药学,100804T,中药学类,医学,270,0,190,16,5359,5629.0,12.034832,0.00213801,3499,8.352326,0.00238706
藏药学,100803T,中药学类,医学,270,0,190,16,5359,5629.0,12.034832,0.00213801,3499,8.352326,0.00238706
法语,050204,外国语言文学类,文学,267,37,76,22,5359,5626.0,20.585426,0.00365898,3476,13.62809,0.00392062
朝鲜语,050209,外国语言文学类,文学,266,36,76,22,5359,5625.0,29.005716,0.00515657,3478,20.671569,0.00594352
马来语,050217,外国语言文学类,文学,266,9,76,22,5359,5625.0,12.569712,0.00223462,3479,8.533328,0.00245281
西班牙语,050205,外国语言文学类,文学,264,34,76,22,5359,5623.0,20.755716,0.00369122,3476,13.004902,0.00374134
印度尼西亚语,050212,外国语言文学类,文学,264,7,76,22,5359,5623.0,11.690002,0.00207896,3479,8.293473,0.00238387
环境设计,130503,设计学类,艺术学,260,39,189,16,5359,5619.0,21.81863,0.00388301,3477,13.86024,0.00398626
柬埔寨语,050214,外国语言文学类,文学,260,7,76,22,5359,5619.0,10.869712,0.00193446,3477,7.683328,0.00220976
阿拉伯语,050206,外国语言文学类,文学,257,27,76,22,5359,5616.0,16.902093,0.00300963,3472,11.27809,0.0032483
海洋技术,070702,海洋科学类,理学,254,12,12,39,5359,5613.0,9.52096,0.00169623,3477,6.239542,0.00179452
日语,050207,外国语言文学类,文学,252,24,74,22,5359,5611.0,14.21876,0.00253409,3466,9.261424,0.00267208
海洋资源与环境,070703T,海洋科学类,理学,252,9,12,39,5359,5611.0,9.004293,0.00160476,3476,6.056209,0.00174229
新媒体艺术,130511T,设计学类,艺术学,250,28,190,16,5359,5609.0,16.726107,0.00298201,3480,12.479683,0.00358612
海洋科学与技术,070705T,海洋科学类,理学,250,2,12,39,5359,5609.0,8.604293,0.00153402,3474,5.656209,0.00162815
军事海洋学,070704T,海洋科学类,理学,250,0,12,39,5359,5609.0,8.604293,0.00153402,3474,5.656209,0.00162815
蒙古语,050218,外国语言文学类,文学,249,19,76,22,5359,5608.0,13.91235,0.0024808,3463,8.87168,0.00256185
德语,050203,外国语言文学类,文学,247,17,76,22,5359,5606.0,12.16876,0.00217067,3463,8.211424,0.00237119
视觉传达设计,130502,设计学类,艺术学,246,24,190,16,5359,5605.0,15.676724,0.00279692,3474,10.941411,0.00314951
葡萄牙语,050232,外国语言文学类,文学,245,15,76,22,5359,5604.0,13.96876,0.00249264,3461,8.994757,0.00259889
数字媒体艺术,130508,设计学类,艺术学,243,21,190,16,5359,5602.0,14.871297,0.00265464,3473,10.624873,0.00305928
乌尔都语,050221,外国语言文学类,文学,237,7,76,22,5359,5596.0,9.002093,0.00160867,3454,5.211424,0.00150881
普什图语,050240,外国语言文学类,文学,235,5,76,22,5359,5594.0,8.335426,0.00149007,3453,4.87809,0.00141271
菲律宾语,050210,外国语言文学类,文学,234,4,76,22,5359,5593.0,7.755716,0.00138668,3454,4.838235,0.00140076
土耳其语,050235,外国语言文学类,文学,233,3,76,22,5359,5592.0,9.002093,0.00160982,3454,5.961424,0.00172595
意大利语,050238,外国语言文学类,文学,233,3,76,22,5359,5592.0,10.502093,0.00187806,3455,7.711424,0.00223196
哈萨克语,050257,外国语言文学类,文学,232,2,76,22,5359,5591.0,8.002093,0.00143125,3453,4.961424,0.00143684
希伯来语,050222,外国语言文学类,文学,232,2,76,22,5359,5591.0,7.835426,0.00140144,3453,4.87809,0.00141271
波斯语,050208,外国语言文学类,文学,232,2,76,22,5359,5591.0,7.66876,0.00137163,3453,4.794757,0.00138858
匈牙利语,050237,外国语言文学类,文学,231,1,76,22,5359,5590.0,8.502093,0.00152095,3453,5.711424,0.00165405
尼泊尔语,050243,外国语言文学类,文学,231,1,76,22,5359,5590.0,8.502093,0.00152095,3453,5.711424,0.00165405
波兰语,050228,外国语言文学类,文学,231,1,76,22,5359,5590.0,8.502093,0.00152095,3453,5.711424,0.00165405
世界语,050241,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
丹麦语,050249,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
乌克兰语,050247,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
乌兹别克语,050258,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
亚美尼亚语,050269T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
保加利亚语,050227,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
僧伽罗语,050219,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
克罗地亚语,050244,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
克里奥尔语,050279T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
冰岛语,050250,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
切瓦语,050298T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
加泰罗尼亚语,050267T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
卢旺达语,050295T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
卢森堡语,050294T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
印地语,050213,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
吉尔吉斯语,050264T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
土库曼语,050266T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
塔吉克语,050275T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
塞尔维亚语,050234,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
塞苏陀语,050299T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
孟加拉语,050242,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
希腊语,050236,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
库克群岛毛利语,050292T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
库尔德语,050286T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
德顿语,050289T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
恩德贝莱语,050277T,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
拉丁语,050260,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
拉脱维亚语,050252,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
挪威语,050248,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
捷克语,050229,外国语言文学类,文学,230,0,76,22,5359,5589.0,7.502093,0.0013423,3452,4.711424,0.00136484
