排名,专业类,专业类代码,所属学科门类,包含专业数量,专业类榜总分,机会规模指数,直接需求指数,独占指数得分,类内均衡指数,本类总可报招录人数,直接面向本类招录人数,专业类独占指数,折算独占招录人数,机会集中度数值,机会集中程度
40,农业工程类,0823,工学,7,56.3587,54.3478,64.1304,55.4348,42.3913,7156,1488,0.03700846,264.832545,1.034595,较均衡
41,植物生产类,0901,农学,17,54.1304,64.1304,47.2826,67.3913,6.5217,7568,927,0.04904788,371.194371,1.164452,较集中
42,临床医学类,1002,医学,7,53.9402,48.3696,55.4348,64.1304,43.4783,6774,1138,0.04582535,310.420929,1.028967,较均衡
43,物流管理与工程类,1206,管理学,4,53.3696,59.7826,58.6957,51.087,20.6522,7344,1293,0.03549944,260.707864,1.072218,略集中
44,工业工程类,1207,管理学,3,53.3152,57.6087,63.0435,34.7826,55.4348,7279,1444,0.02994126,217.942404,1.014328,较均衡
45,教育学类,0401,教育学,18,51.5217,44.5652,53.2609,61.9565,44.5652,6568,1022,0.04293694,282.009832,1.027592,较均衡
46,矿业类,0815,工学,8,51.3587,46.7391,56.5217,45.6522,66.3043,6705,1226,0.033377,223.792797,1.007354,较均衡
47,心理学类,0711,理学,2,50.0543,36.9565,48.913,53.2609,91.3043,6312,944,0.03613017,228.053643,1.000238,较均衡
48,哲学类,0101,哲学,4,48.5054,39.6739,52.1739,42.3913,83.6957,6362,990,0.03227267,205.318708,1.000984,较均衡
49,护理学类,1011,医学,2,45.9783,35.8696,47.2826,41.3043,89.1304,6288,927,0.03183515,200.179443,1.000318,较均衡
50,林学类,0905,农学,5,45.5435,50.0,41.3043,50.0,31.5217,6847,879,0.03534421,242.001787,1.05744,略集中
51,基础医学类,1001,医学,3,45.5163,39.6739,50.0,36.9565,73.913,6362,966,0.03027588,192.615157,1.003682,较均衡
52,医学技术类,1010,医学,17,45.1087,41.3043,43.4783,47.8261,56.5217,6432,901,0.03439784,221.246903,1.014221,较均衡
53,旅游管理类,1209,管理学,5,43.4239,61.9565,36.9565,39.1304,8.6957,7466,709,0.03127358,233.488515,1.126963,略集中
54,生物工程类,0830,工学,3,43.2609,45.6522,39.1304,43.4783,46.7391,6577,775,0.03246578,213.52746,1.021791,较均衡
55,外国语言文学类,0502,文学,100,43.0978,56.5217,8.6957,81.5217,3.2609,7271,243,0.08139186,591.80018,1.253242,高度集中
56,地质类,0814,工学,7,43.0435,43.4783,51.087,30.4348,48.913,6555,972,0.02656892,174.159266,1.019815,较均衡
57,中医学类,1005,医学,13,41.3587,38.0435,45.6522,32.6087,61.9565,6335,917,0.02823837,178.890074,1.008512,较均衡
58,仪器类,0803,工学,3,40.9239,34.7826,44.5652,22.8261,96.7391,6273,914,0.01983837,124.446067,1.0,较均衡
59,生物科学类,0710,理学,6,40.1087,55.4348,29.3478,44.5652,7.6087,7222,481,0.0331753,239.592041,1.142461,较集中
60,物理学类,0702,理学,6,39.7283,33.6957,42.3913,26.087,86.9565,6254,888,0.02259392,141.302353,1.000453,较均衡
61,药学类,1007,医学,9,39.2391,42.3913,34.7826,46.7391,22.8261,6533,626,0.03418222,223.312448,1.070508,略集中
62,动物医学类,0904,农学,6,38.587,31.5217,35.8696,40.2174,67.3913,6155,670,0.03154074,194.133259,1.007317,较均衡
63,林业工程类,0824,工学,5,34.4565,30.4348,38.0435,15.2174,85.8696,6111,750,0.01674756,102.34436,1.000491,较均衡
64,历史学类,0601,历史学,9,34.2935,58.6957,14.1304,35.8696,5.4348,7339,314,0.03024202,221.946167,1.213349,高度集中
65,纺织类,0816,工学,5,32.9891,28.2609,32.6087,25.0,70.6522,5988,542,0.0222273,133.097044,1.006841,较均衡
66,动物生产类,0903,农学,7,32.2826,29.3478,33.6957,27.1739,51.087,6039,550,0.02275165,137.397186,1.018258,较均衡
67,大气科学类,0706,理学,4,32.0652,16.3043,23.913,38.0435,96.7391,5818,459,0.03100886,180.409567,1.0,较均衡
68,航空航天类,0820,工学,12,30.1087,26.087,30.4348,19.5652,69.5652,5919,512,0.01852714,109.66216,1.006936,较均衡
69,轻工类,0817,工学,7,29.3478,25.0,31.5217,11.9565,81.5217,5909,520,0.01502808,88.800909,1.001531,较均衡
70,水产类,0906,农学,4,29.1848,27.1739,22.8261,28.2609,57.6087,5934,446,0.02301784,136.587847,1.012907,较均衡
71,地质学类,0709,理学,4,28.9674,32.6087,25.0,18.4783,54.3478,6169,467,0.01828973,112.829315,1.014555,较均衡
72,体育学类,0402,教育学,17,27.8261,10.8696,13.0435,56.5217,59.7826,5749,306,0.03894729,223.907962,1.011204,较均衡
73,生物医学工程类,0826,工学,5,26.0326,19.5652,28.2609,7.6087,88.0435,5837,479,0.01417823,82.758318,1.000411,较均衡
74,公共卫生与预防医学类,1004,医学,6,25.9239,23.913,16.3043,29.3478,53.2609,5858,342,0.02602039,152.427434,1.014798,较均衡
75,海洋工程类,0819,工学,6,25.7608,22.8261,21.7391,16.3043,71.7391,5843,440,0.01768017,103.305234,1.006576,较均衡
76,核工程类,0822,工学,4,25.4892,20.6522,26.087,8.6957,82.6087,5838,470,0.01455085,84.947863,1.001287,较均衡
77,力学类,0801,工学,2,24.6739,18.4783,27.1739,3.2609,92.3913,5831,475,0.01358964,79.241167,1.000086,较均衡
78,法医学类,1009,医学,1,24.1847,14.1304,11.9565,23.913,96.7391,5802,275,0.01994813,115.739049,1.0,较均衡
79,民族学类,0304,法学,1,23.3152,13.0435,18.4783,14.1304,96.7391,5769,409,0.01666269,96.127038,1.0,较均衡
80,交叉工程类,0832,工学,6,22.3913,21.7391,20.6522,4.3478,75.0,5840,439,0.01399083,81.706468,1.003098,较均衡
81,兵器类,0821,工学,8,21.25,15.2174,19.5652,9.7826,76.087,5812,421,0.01475827,85.775045,1.003045,较均衡
82,设计学类,1305,艺术学,15,21.0326,17.3913,6.5217,33.6957,45.6522,5823,226,0.02980226,173.538534,1.025264,略集中
83,草学类,0907,农学,2,20.3804,9.7826,17.3913,13.0435,84.7826,5736,372,0.01665817,95.551269,1.000698,较均衡
84,中西医结合类,1006,医学,1,19.0217,6.5217,5.4348,21.7391,96.7391,5660,218,0.01938834,109.738007,1.0,较均衡
85,地球物理学类,0708,理学,4,17.6631,7.6087,15.2174,10.8696,77.1739,5723,337,0.01494301,85.518858,1.002497,较均衡
86,戏剧与影视学类,1303,艺术学,18,16.9565,5.4348,4.3478,31.5217,58.6957,5625,147,0.02717489,152.85878,1.01136,略集中
87,中药学类,1008,医学,6,16.6848,8.6957,10.8696,20.6522,52.1739,5735,270,0.01914872,109.817927,1.015643,略集中
88,海洋科学类,0707,理学,5,13.5326,11.9565,9.7826,6.5217,47.8261,5759,250,0.01416023,81.548746,1.020216,略集中
89,天文学类,0704,理学,1,13.4782,4.3478,7.6087,0.0,96.7391,5587,228,0.01194014,66.709537,1.0,较均衡
90,音乐与舞蹈学类,1302,艺术学,15,13.4239,3.2609,2.1739,17.3913,72.8261,5478,82,0.01803453,98.793159,1.004102,略集中
91,口腔医学类,1003,医学,1,11.9565,2.1739,3.2609,2.1739,96.7391,5452,93,0.01296795,70.701278,1.0,较均衡
92,美术学类,1304,艺术学,14,10.0,1.087,1.087,5.4348,79.3478,5437,57,0.01410407,76.683852,1.002097,较均衡
93,艺术学理论类,1301,艺术学,3,9.2935,0.0,0.0,1.087,90.2174,5406,41,0.01223121,66.121947,1.000247,较均衡
