排名,专业,专业代码,所属专业类,所属学科门类,专业榜总分,机会规模指数,直接对口指数,独占指数得分,专业相关招录人数,直接对口招录人数,专业独占指数,全部可报招录人数_含不限,折算独占招录人数,专业类共享招录人数,学科门类共享招录人数,专业不限招录人数
45,海关检验检疫安全,120415TK,公共管理类,管理学,91.7819,84.1478,98.2122,94.994,5533,438,0.02033873,10892.0,221.529441,4760,34,5359
46,新媒体技术,080912T,计算机类,工学,91.6866,94.6365,88.677,91.18,11317,102,0.0145497,16676.0,242.630809,9493,35,5359
47,新闻学,050301,新闻传播学类,文学,91.6329,86.4124,97.497,91.7759,6665,351,0.01495819,12024.0,179.857318,5285,22,5359
48,工程管理,120103,管理科学与工程类,管理学,91.4601,89.3921,95.4708,89.1538,7105,200,0.01282362,12464.0,159.833649,4329,34,5359
49,资产评估,120208,工商管理类,管理学,91.4214,91.2992,93.2658,89.0346,7664,150,0.01277257,13023.0,166.337133,7051,34,5359
50,数据科学,071203T,统计学类,理学,91.1323,91.5375,88.677,93.9213,7699,102,0.0201156,13058.0,262.669474,6328,39,5359
51,信息工程,080706,电子信息类,工学,91.1174,92.1335,94.3385,84.9821,7814,171,0.01077248,13173.0,141.905845,6623,35,5359
52,电子科学与技术,080702,电子信息类,工学,91.0846,89.9881,96.1859,85.6973,7325,238,0.01110797,12684.0,140.893462,6622,35,5359
53,信息与计算科学,070102,数学类,理学,91.0638,87.4851,92.4315,94.8749,6980,143,0.0203114,12339.0,250.622394,5150,39,5359
54,数据计算及应用,070104T,数学类,理学,90.885,87.6043,91.3588,95.4708,6984,132,0.02041873,12343.0,252.028416,5165,39,5359
55,国民经济管理,020103T,经济学类,经济学,90.7271,98.5697,77.354,96.9011,14115,41,0.02263996,19474.0,440.890604,13230,19,5359
56,工商管理,120201K,工商管理类,管理学,90.6019,90.7032,93.5638,86.2932,7553,158,0.01132891,12912.0,146.278863,7040,34,5359
57,工程造价,120105,管理科学与工程类,管理学,90.5453,88.3194,94.3385,88.7962,7080,171,0.01233189,12439.0,153.396434,4329,34,5359
58,应用语言学,050106T,中国语言文学类,文学,90.5006,87.1275,94.0405,90.9416,6817,168,0.01441077,12176.0,175.465576,6127,22,5359
59,人力资源管理,120206,工商管理类,管理学,90.3427,91.18,90.4052,88.9154,7634,119,0.012452,12993.0,161.788875,7057,34,5359
60,电子信息科学与技术,080714T,电子信息类,工学,90.146,92.0143,91.9547,84.6246,7772,139,0.01049281,13131.0,137.781053,6623,35,5359
61,网络与新媒体,050306T,新闻传播学类,文学,89.9702,86.2932,94.1597,89.9881,6530,169,0.01352242,11889.0,160.767994,5285,22,5359
62,国家安全学,030111TK,法学类,法学,89.7974,96.4243,76.6389,97.6162,12485,39,0.02836359,17844.0,506.119953,10753,30,5359
63,劳动与社会保障,120403,公共管理类,管理学,89.6722,92.8486,84.0286,92.4911,8121,63,0.01630968,13480.0,219.854463,4760,34,5359
64,司法鉴定学,030110TK,法学类,法学,89.6514,96.6627,75.8641,97.7354,12491,37,0.02846271,17850.0,508.059449,10755,30,5359
65,数学与应用数学,070101,数学类,理学,89.565,85.1013,90.1073,95.9476,6088,117,0.02094085,11447.0,239.709947,5165,39,5359
66,传播学,050304,新闻传播学类,文学,89.4905,86.174,93.2658,89.5113,6516,150,0.0133505,11875.0,158.537209,5285,22,5359
67,土木工程,081001,土木类,工学,89.0167,81.5256,97.1395,89.6305,4822,306,0.01346556,10181.0,137.092889,3201,35,5359
68,社区矫正,030107TK,法学类,法学,89.0137,96.5435,73.8379,98.2122,12487,33,0.02889369,17846.0,515.6368,10754,30,5359
69,国际经济与贸易,020401,经济与贸易类,经济学,88.9571,92.3719,82.9559,91.8951,7907,58,0.01516151,13266.0,201.132594,6168,19,5359
70,投资学,020304,金融学类,经济学,88.7753,95.59,77.056,94.2789,11724,40,0.02017765,17083.0,344.694826,10938,19,5359
71,区块链工程,080917T,计算机类,工学,88.6383,93.5638,81.7044,90.4648,10269,54,0.01396863,15628.0,218.301676,9520,35,5359
72,海外利益安全,030112TK,法学类,法学,88.4833,96.9011,72.1692,97.8546,12511,29,0.02860723,17870.0,511.211223,10773,30,5359
73,大数据管理与应用,120108T,管理科学与工程类,管理学,88.1883,81.764,95.9476,87.6043,4882,219,0.01196546,10241.0,122.538272,4329,34,5359
74,土地资源管理,120404,公共管理类,管理学,87.5626,85.9356,91.7759,84.267,6380,138,0.00976624,11739.0,114.645884,4760,34,5359
75,光电信息科学与工程,080705,电子信息类,工学,87.1663,89.7497,86.1144,84.5054,7196,75,0.01016772,12555.0,127.655747,6623,35,5359
76,保险学,020303,金融学类,经济学,87.0799,95.8284,70.9178,95.7092,11726,28,0.020579,17085.0,351.592145,10941,19,5359
77,行政管理,120402,公共管理类,管理学,86.9815,83.7902,94.6961,81.2872,5314,177,0.00911368,10673.0,97.270264,4759,34,5359
78,城乡规划,082802,建筑类,工学,86.8117,80.5721,94.994,85.3397,4053,184,0.01106818,9412.0,104.17374,2753,35,5359
79,文化产业管理,120210,工商管理类,管理学,86.6269,91.8951,80.3337,87.0083,7729,51,0.01163047,13088.0,152.219587,7052,34,5359
80,数理基础科学,070103T,数学类,理学,86.5971,84.9821,83.5518,93.4446,5873,60,0.0199329,11232.0,223.886306,5141,39,5359
81,精算学,020308T,金融学类,经济学,86.3766,95.1132,70.9178,94.0405,11716,28,0.0201225,17075.0,343.591712,10943,19,5359
82,金融科技,020310T,金融学类,经济学,86.3588,95.7092,69.8451,94.5173,11725,27,0.02020249,17084.0,345.139331,10943,19,5359
83,社会工作,030302,社会学类,法学,86.0787,81.4064,86.4124,93.087,4791,77,0.01796499,10150.0,182.344663,1406,30,5359
84,信息管理与信息系统,120102,管理科学与工程类,管理学,85.9118,81.6448,91.5375,84.8629,4844,133,0.01066348,10203.0,108.799478,4329,34,5359
85,保密技术,080914TK,计算机类,工学,84.9702,93.683,70.9178,90.7032,10273,28,0.01411741,15632.0,220.683321,9550,35,5359
86,金融数学,020305T,金融学类,经济学,84.9106,95.3516,66.6269,93.8021,11718,22,0.02010163,17077.0,343.275478,10943,19,5359
87,中国语言与文化,050108T,中国语言文学类,文学,84.9077,86.8892,78.8439,90.2265,6716,45,0.01359347,12075.0,164.141123,6128,22,5359
88,机械工程,080201,机械类,工学,84.8957,79.0226,94.6961,80.5721,3659,177,0.00866823,9018.0,78.170068,2517,35,5359
89,建筑学,082801,建筑类,工学,84.5024,79.6186,89.5709,85.2205,3679,109,0.0108086,9038.0,97.688154,2752,35,5359
90,公共事业管理,120401,公共管理类,管理学,84.3266,83.5518,88.3194,79.9762,5228,99,0.00846383,10587.0,89.60653,4760,34,5359
91,互联网金融,020309T,金融学类,经济学,84.124,95.2324,64.6007,93.683,11717,20,0.0200576,17076.0,342.503617,10943,19,5359
92,商务经济学,020105T,经济学类,经济学,84.0584,98.1526,59.118,96.4243,14082,14,0.02257397,19441.0,438.860632,13198,19,5359
93,航海技术,081803K,交通运输类,工学,83.8975,64.9583,95.8284,97.497,1787,218,0.02496757,7146.0,178.418289,1091,35,5359
94,国际新闻与传播,050309T,新闻传播学类,文学,83.6174,84.8629,79.261,87.7235,5581,47,0.01197139,10940.0,130.967042,5284,22,5359
95,贸易经济,020402,经济与贸易类,经济学,83.6085,91.4184,69.1895,91.2992,7693,26,0.01456894,13052.0,190.15381,6168,19,5359
96,应用中文,050113T,中国语言文学类,文学,83.5102,86.77,75.3278,89.7497,6699,36,0.01347144,12058.0,162.438648,6130,22,5359
97,国际商务,120205,工商管理类,管理学,83.3284,90.9416,72.1692,86.77,7587,29,0.0114336,12946.0,148.019326,7058,34,5359
98,能源经济,020106T,经济学类,经济学,83.3045,98.4505,56.1979,97.0203,14110,12,0.0226717,19469.0,441.395355,13227,19,5359
99,轮机工程,081804K,交通运输类,工学,83.23,64.2431,95.59,96.3051,1774,209,0.02180542,7133.0,155.538069,1091,35,5359
100,劳动关系,120211T,工商管理类,管理学,83.2211,90.8224,72.1692,86.5316,7556,29,0.0113652,12915.0,146.781589,7053,34,5359
101,虚拟现实技术,080916T,计算机类,工学,82.8367,93.2062,65.7926,90.1073,10098,21,0.01358401,15457.0,209.96804,9511,35,5359
102,应急管理,120111T,管理科学与工程类,管理学,82.7711,83.671,80.3337,84.7437,5290,51,0.01065393,10649.0,113.45366,4329,34,5359
103,侦查学,030602K,公安学类,法学,82.7354,71.5137,96.4243,81.5256,2193,264,0.00917854,7552.0,69.316298,1471,30,5359
104,微电子科学与工程,080704,电子信息类,工学,82.7324,89.6305,73.8379,84.1478,7156,33,0.00969966,12515.0,121.391295,6623,35,5359
105,机械设计制造及其自动化,080202,机械类,工学,82.6967,76.9964,92.4315,78.1883,3065,143,0.00792838,8424.0,66.788633,2519,35,5359
106,广播电视学,050302,新闻传播学类,文学,82.5983,86.0548,75.3278,87.2467,6407,36,0.01166696,11766.0,137.273502,5285,22,5359
107,英语,050201,外国语言文学类,文学,82.5864,62.0977,99.5232,91.6567,1706,1474,0.0149427,7065.0,105.570142,76,22,5359
108,国际税收,020203TK,财政学类,经济学,82.5238,99.1657,51.7878,98.9273,15363,9,0.02974074,20722.0,616.287606,13743,19,5359
109,资源与环境经济学,020104T,经济学类,经济学,82.5119,98.1526,54.5292,96.6627,14082,11,0.02259645,19441.0,439.297537,13199,19,5359
110,机械电子工程,080204,机械类,工学,82.2616,77.8308,89.8093,78.7843,3249,113,0.00795754,8608.0,68.498495,2519,35,5359
111,思想政治教育,030503,马克思主义理论类,法学,82.2587,79.7378,84.3862,83.3135,3728,64,0.00954192,9087.0,86.707465,2238,30,5359
112,计算金融,120110T,管理科学与工程类,管理学,82.0411,80.9297,82.062,83.7902,4710,55,0.00964505,10069.0,97.11598,4329,34,5359
